Year,Week,Resort,avg_max_temp,avg_min_temp,sum_precip
2026,1,Charlotte Pass,2.5411258852060237,-2.1076348502437727,257.201341570682
2026,2,Charlotte Pass,1.46161014193091,-3.4468406259223525,212.32219889995255
2026,3,Charlotte Pass,1.3809872886535852,-3.5307672861592723,162.09289953757775
2026,4,Charlotte Pass,1.6593582426101996,-2.8933369333067755,164.6935894111654
2026,5,Charlotte Pass,1.535984909643773,-3.14598559039584,158.96631510245857
2026,6,Charlotte Pass,1.3789727223036483,-3.249423954899025,203.30170868584364
2026,7,Charlotte Pass,1.404309120969465,-3.423249712987952,226.2644046986117
2026,8,Charlotte Pass,1.9844806087789622,-3.390932641258283,171.2627530511539
2026,9,Charlotte Pass,1.6279310382656242,-3.236600305204214,190.61511755020157
2026,10,Charlotte Pass,2.521554280646466,-2.8000648105680597,187.25160730830183
2026,11,Charlotte Pass,2.328978273209242,-3.2920236690890556,175.47468275934204
2026,12,Charlotte Pass,2.5422618976164735,-2.9673687460324034,175.17406791799183
2026,13,Charlotte Pass,3.069848266586121,-2.454800467879537,179.25647358756004
2026,14,Charlotte Pass,3.051984700903894,-2.269476708211288,205.59951604475972
2026,15,Charlotte Pass,3.1843186187250856,-2.3357070536192532,211.46307664080126
2026,1,Falls Creek,2.8447300460956058,-1.1969097893381475,264.02085052539337
2026,2,Falls Creek,2.7066148103577676,-1.7452349714106197,157.77193889079956
2026,3,Falls Creek,2.6785131229778316,-1.8056543783256198,142.8624802503709
2026,4,Falls Creek,2.9153588851170555,-2.1496365442242644,176.03643015900948
2026,5,Falls Creek,2.30087771566532,-1.8435335908641264,218.32782029865044
2026,6,Falls Creek,1.76626476767846,-2.872035677473682,191.80637773682722
2026,7,Falls Creek,2.950081481968837,-1.8072038543940945,200.82573816049592
2026,8,Falls Creek,3.215795902232446,-1.9546440928418412,212.43839287853618
2026,9,Falls Creek,2.891421341342837,-2.1531844014245083,176.50696430606808
2026,10,Falls Creek,3.736765106584619,-1.144062510497235,180.29539461217195
2026,11,Falls Creek,3.4029351854007848,-1.5234381528881704,290.5780433262698
2026,12,Falls Creek,4.494236004058402,-1.408735627731963,166.58220379737452
2026,13,Falls Creek,6.278718234074306,-0.5737972620316694,160.91141740633017
2026,14,Falls Creek,6.518278853415913,0.04084340747568177,160.36065295515226
2026,15,Falls Creek,6.523578160773171,0.4156114074940298,210.95531100424697
2026,1,Mt. Baw Baw,2.8447300460956058,-1.1969097893381475,264.02085052539337
2026,2,Mt. Baw Baw,2.7066148103577676,-1.7452349714106197,157.77193889079956
2026,3,Mt. Baw Baw,2.6785131229778316,-1.8056543783256198,142.8624802503709
2026,4,Mt. Baw Baw,2.9153588851170555,-2.1496365442242644,176.03643015900948
2026,5,Mt. Baw Baw,2.30087771566532,-1.8435335908641264,218.32782029865044
2026,6,Mt. Baw Baw,1.76626476767846,-2.872035677473682,191.80637773682722
2026,7,Mt. Baw Baw,2.950081481968837,-1.8072038543940945,200.82573816049592
2026,8,Mt. Baw Baw,3.215795902232446,-1.9546440928418412,212.43839287853618
2026,9,Mt. Baw Baw,2.891421341342837,-2.1531844014245083,176.50696430606808
2026,10,Mt. Baw Baw,3.736765106584619,-1.144062510497235,180.29539461217195
2026,11,Mt. Baw Baw,3.4029351854007848,-1.5234381528881704,290.5780433262698
2026,12,Mt. Baw Baw,4.494236004058402,-1.408735627731963,166.58220379737452
2026,13,Mt. Baw Baw,6.278718234074306,-0.5737972620316694,160.91141740633017
2026,14,Mt. Baw Baw,6.518278853415913,0.04084340747568177,160.36065295515226
2026,15,Mt. Baw Baw,6.523578160773171,0.4156114074940298,210.95531100424697
2026,1,Mt. Buller,2.8447300460956058,-1.1969097893381475,264.02085052539337
2026,2,Mt. Buller,2.7066148103577676,-1.7452349714106197,157.77193889079956
2026,3,Mt. Buller,2.6785131229778316,-1.8056543783256198,142.8624802503709
2026,4,Mt. Buller,2.9153588851170555,-2.1496365442242644,176.03643015900948
2026,5,Mt. Buller,2.30087771566532,-1.8435335908641264,218.32782029865044
2026,6,Mt. Buller,1.76626476767846,-2.872035677473682,191.80637773682722
2026,7,Mt. Buller,2.950081481968837,-1.8072038543940945,200.82573816049592
2026,8,Mt. Buller,3.215795902232446,-1.9546440928418412,212.43839287853618
2026,9,Mt. Buller,2.891421341342837,-2.1531844014245083,176.50696430606808
2026,10,Mt. Buller,3.736765106584619,-1.144062510497235,180.29539461217195
2026,11,Mt. Buller,3.4029351854007848,-1.5234381528881704,290.5780433262698
2026,12,Mt. Buller,4.494236004058402,-1.408735627731963,166.58220379737452
2026,13,Mt. Buller,6.278718234074306,-0.5737972620316694,160.91141740633017
2026,14,Mt. Buller,6.518278853415913,0.04084340747568177,160.36065295515226
2026,15,Mt. Buller,6.523578160773171,0.4156114074940298,210.95531100424697
2026,1,Mt. Hotham,2.8447300460956058,-1.1969097893381475,264.02085052539337
2026,2,Mt. Hotham,2.7066148103577676,-1.7452349714106197,157.77193889079956
2026,3,Mt. Hotham,2.6785131229778316,-1.8056543783256198,142.8624802503709
2026,4,Mt. Hotham,2.9153588851170555,-2.1496365442242644,176.03643015900948
2026,5,Mt. Hotham,2.30087771566532,-1.8435335908641264,218.32782029865044
2026,6,Mt. Hotham,1.76626476767846,-2.872035677473682,191.80637773682722
2026,7,Mt. Hotham,2.950081481968837,-1.8072038543940945,200.82573816049592
2026,8,Mt. Hotham,3.215795902232446,-1.9546440928418412,212.43839287853618
2026,9,Mt. Hotham,2.891421341342837,-2.1531844014245083,176.50696430606808
2026,10,Mt. Hotham,3.736765106584619,-1.144062510497235,180.29539461217195
2026,11,Mt. Hotham,3.4029351854007848,-1.5234381528881704,290.5780433262698
2026,12,Mt. Hotham,4.494236004058402,-1.408735627731963,166.58220379737452
2026,13,Mt. Hotham,6.278718234074306,-0.5737972620316694,160.91141740633017
2026,14,Mt. Hotham,6.518278853415913,0.04084340747568177,160.36065295515226
2026,15,Mt. Hotham,6.523578160773171,0.4156114074940298,210.95531100424697
2026,1,Mt. Stirling,2.8447300460956058,-1.1969097893381475,264.02085052539337
2026,2,Mt. Stirling,2.7066148103577676,-1.7452349714106197,157.77193889079956
2026,3,Mt. Stirling,2.6785131229778316,-1.8056543783256198,142.8624802503709
2026,4,Mt. Stirling,2.9153588851170555,-2.1496365442242644,176.03643015900948
2026,5,Mt. Stirling,2.30087771566532,-1.8435335908641264,218.32782029865044
2026,6,Mt. Stirling,1.76626476767846,-2.872035677473682,191.80637773682722
2026,7,Mt. Stirling,2.950081481968837,-1.8072038543940945,200.82573816049592
2026,8,Mt. Stirling,3.215795902232446,-1.9546440928418412,212.43839287853618
2026,9,Mt. Stirling,2.891421341342837,-2.1531844014245083,176.50696430606808
2026,10,Mt. Stirling,3.736765106584619,-1.144062510497235,180.29539461217195
2026,11,Mt. Stirling,3.4029351854007848,-1.5234381528881704,290.5780433262698
2026,12,Mt. Stirling,4.494236004058402,-1.408735627731963,166.58220379737452
2026,13,Mt. Stirling,6.278718234074306,-0.5737972620316694,160.91141740633017
2026,14,Mt. Stirling,6.518278853415913,0.04084340747568177,160.36065295515226
2026,15,Mt. Stirling,6.523578160773171,0.4156114074940298,210.95531100424697
2026,1,Perisher,2.8447300460956058,-1.1969097893381475,264.02085052539337
2026,2,Perisher,2.7066148103577676,-1.7452349714106197,157.77193889079956
2026,3,Perisher,2.6785131229778316,-1.8056543783256198,142.8624802503709
2026,4,Perisher,2.9153588851170555,-2.1496365442242644,176.03643015900948
2026,5,Perisher,2.30087771566532,-1.8435335908641264,218.32782029865044
2026,6,Perisher,1.76626476767846,-2.872035677473682,191.80637773682722
2026,7,Perisher,2.950081481968837,-1.8072038543940945,200.82573816049592
2026,8,Perisher,3.215795902232446,-1.9546440928418412,212.43839287853618
2026,9,Perisher,2.891421341342837,-2.1531844014245083,176.50696430606808
2026,10,Perisher,3.736765106584619,-1.144062510497235,180.29539461217195
2026,11,Perisher,3.4029351854007848,-1.5234381528881704,290.5780433262698
2026,12,Perisher,4.494236004058402,-1.408735627731963,166.58220379737452
2026,13,Perisher,6.278718234074306,-0.5737972620316694,160.91141740633017
2026,14,Perisher,6.518278853415913,0.04084340747568177,160.36065295515226
2026,15,Perisher,6.523578160773171,0.4156114074940298,210.95531100424697
2026,1,Selwyn,2.8447300460956058,-1.1969097893381475,264.02085052539337
2026,2,Selwyn,2.7066148103577676,-1.7452349714106197,157.77193889079956
2026,3,Selwyn,2.6785131229778316,-1.8056543783256198,142.8624802503709
2026,4,Selwyn,2.9153588851170555,-2.1496365442242644,176.03643015900948
2026,5,Selwyn,2.30087771566532,-1.8435335908641264,218.32782029865044
2026,6,Selwyn,1.76626476767846,-2.872035677473682,191.80637773682722
2026,7,Selwyn,2.950081481968837,-1.8072038543940945,200.82573816049592
2026,8,Selwyn,3.215795902232446,-1.9546440928418412,212.43839287853618
2026,9,Selwyn,2.891421341342837,-2.1531844014245083,176.50696430606808
2026,10,Selwyn,3.736765106584619,-1.144062510497235,180.29539461217195
2026,11,Selwyn,3.4029351854007848,-1.5234381528881704,290.5780433262698
2026,12,Selwyn,4.494236004058402,-1.408735627731963,166.58220379737452
2026,13,Selwyn,6.278718234074306,-0.5737972620316694,160.91141740633017
2026,14,Selwyn,6.518278853415913,0.04084340747568177,160.36065295515226
2026,15,Selwyn,6.523578160773171,0.4156114074940298,210.95531100424697
2026,1,Thredbo,2.8447300460956058,-1.1969097893381475,264.02085052539337
2026,2,Thredbo,2.7066148103577676,-1.7452349714106197,157.77193889079956
2026,3,Thredbo,2.6785131229778316,-1.8056543783256198,142.8624802503709
2026,4,Thredbo,2.9153588851170555,-2.1496365442242644,176.03643015900948
2026,5,Thredbo,2.30087771566532,-1.8435335908641264,218.32782029865044
2026,6,Thredbo,1.76626476767846,-2.872035677473682,191.80637773682722
2026,7,Thredbo,2.950081481968837,-1.8072038543940945,200.82573816049592
2026,8,Thredbo,3.215795902232446,-1.9546440928418412,212.43839287853618
2026,9,Thredbo,2.891421341342837,-2.1531844014245083,176.50696430606808
2026,10,Thredbo,3.736765106584619,-1.144062510497235,180.29539461217195
2026,11,Thredbo,3.4029351854007848,-1.5234381528881704,290.5780433262698
2026,12,Thredbo,4.494236004058402,-1.408735627731963,166.58220379737452
2026,13,Thredbo,6.278718234074306,-0.5737972620316694,160.91141740633017
2026,14,Thredbo,6.518278853415913,0.04084340747568177,160.36065295515226
2026,15,Thredbo,6.523578160773171,0.4156114074940298,210.95531100424697
